📺央视卫视频道,#genre#
乐山文旅生活,http://182.140.110.75:5050/rtp/239.94.0.173:5140
自贡综合,http://182.140.110.75:5050/rtp/239.94.0.169:5140
自贡文化生活,http://182.140.110.75:5050/rtp/239.94.0.178:5140
广元综合,http://182.140.110.75:5050/rtp/239.94.0.167:5140
广元文化生活,http://182.140.110.75:5050/rtp/239.94.0.179:5140
德阳新闻综合,http://182.140.110.75:5050/rtp/239.94.0.176:5140
德阳文旅科教,http://182.140.110.75:5050/rtp/239.94.0.165:5140
内江综合,http://182.140.110.75:5050/rtp/239.94.0.164:5140
内江科教生活,http://182.140.110.75:5050/rtp/239.94.0.181:5140
凉山综合,http://182.140.110.75:5050/rtp/239.94.0.171:5140
凉山彝语综合,http://182.140.110.75:5050/rtp/239.94.0.175:5140
资阳综合,http://182.140.110.75:5050/rtp/239.94.0.183:5140
宜宾公共,http://182.140.110.75:5050/rtp/239.94.0.172:5140
宜宾综合,http://182.140.110.75:5050/rtp/239.94.0.161:5140
攀枝花综合,http://182.140.110.75:5050/rtp/239.94.0.168:5140
泸州综合,http://182.140.110.75:5050/rtp/239.94.0.163:5140
泸州科教生活,http://182.140.110.75:5050/rtp/239.94.0.182:5140
雅安综合,http://182.140.110.75:5050/rtp/239.94.0.166:5140
雅安文化生活,http://182.140.110.75:5050/rtp/239.94.0.180:5140
眉山综合,http://182.140.110.75:5050/rtp/239.94.0.170:5140
眉山文旅乡村,http://182.140.110.75:5050/rtp/239.94.0.174:5140
财富天下,http://182.140.110.75:5050/rtp/239.94.1.67:5140
财富天下,http://182.140.110.75:5050/rtp/239.94.1.42:5140
少儿动画,http://182.140.110.75:5050/rtp/239.94.1.33:5140
魅力时尚,http://182.140.110.75:5050/rtp/239.94.1.39:5140
爱体育,http://182.140.110.75:5050/rtp/239.94.1.44:5140
求索记录,http://182.140.110.75:5050/rtp/239.94.1.142:5140
热播剧场,http://182.140.110.75:5050/rtp/239.94.1.25:5140
经典电影,http://182.140.110.75:5050/rtp/239.94.1.21:5140
音乐现场,http://182.140.110.75:5050/rtp/239.94.1.36:5140
精彩导视,http://182.140.110.75:5050/rtp/239.94.1.63:5140
精彩影视,http://182.140.110.75:5050/rtp/239.94.1.172:5140
爱生活,http://182.140.110.75:5050/rtp/239.94.1.41:5140
iHOT爱体育,http://182.140.110.75:5050/rtp/239.94.1.143:5140
iHOT爱动漫,http://182.140.110.75:5050/rtp/239.94.1.141:5140
iHOT爱历史,http://182.140.110.75:5050/rtp/239.94.1.135:5140
iHOT爱喜剧,http://182.140.110.75:5050/rtp/239.94.1.129:5140
iHOT爱喜剧,http://182.140.110.75:5050/rtp/239.94.2.71:5140
iHOT爱奇谈,http://182.140.110.75:5050/rtp/239.94.1.130:5140
iHOT爱幼教,http://182.140.110.75:5050/rtp/239.94.1.139:5140
iHOT爱悬疑,http://182.140.110.75:5050/rtp/239.94.1.136:5140
iHOT爱旅行,http://182.140.110.75:5050/rtp/239.94.1.137:5140
iHOT爱浪漫,http://182.140.110.75:5050/rtp/239.94.1.128:5140
iHOT爱玩具,http://182.140.110.75:5050/rtp/239.94.1.140:5140
iHOT爱科幻,http://182.140.110.75:5050/rtp/239.94.1.131:5140
iHOT爱谍战,http://182.140.110.75:5050/rtp/239.94.1.134:5140
iHOT爱赛车,http://182.140.110.75:5050/rtp/239.94.1.144:5140
iHOT爱院线,http://182.140.110.75:5050/rtp/239.94.1.132:5140
bestv,http://182.140.110.75:5050/rtp/239.94.2.57:5140
i成都,http://182.140.110.75:5050/rtp/239.94.2.1:5140
乐龄学堂,http://182.140.110.75:5050/rtp/239.94.1.155:5140
九画面15,http://182.140.110.75:5050/rtp/239.94.2.138:5140
九画面卫视1,http://182.140.110.75:5050/rtp/239.94.2.133:5140
九画面卫视1,http://182.140.110.75:5050/rtp/239.94.2.132:5140
九画面卫视2,http://182.140.110.75:5050/rtp/239.94.2.134:5140
九画面卫视2,http://182.140.110.75:5050/rtp/239.94.2.135:5140
九画面卫视3,http://182.140.110.75:5050/rtp/239.94.2.136:5140
九画面卫视3,http://182.140.110.75:5050/rtp/239.94.2.137:5140
九画面卫视4,http://182.140.110.75:5050/rtp/239.94.2.141:5140
九画面卫视4,http://182.140.110.75:5050/rtp/239.94.2.139:5140
九画面卫视5,http://182.140.110.75:5050/rtp/239.94.2.140:5140
九画面四川1,http://182.140.110.75:5050/rtp/239.94.2.131:5140
九画面四川2,http://182.140.110.75:5050/rtp/239.94.2.130:5140
九画面央视1,http://182.140.110.75:5050/rtp/239.94.2.128:5140
九画面央视1,http://182.140.110.75:5050/rtp/239.94.2.73:5140
九画面央视2,http://182.140.110.75:5050/rtp/239.94.2.129:5140
云看熊猫专区,http://182.140.110.75:5050/rtp/239.94.1.7:5140
健康养生,http://182.140.110.75:5050/rtp/239.94.1.27:5140
全球大片,http://182.140.110.75:5050/rtp/239.94.1.24:5140
军事专区,http://182.140.110.75:5050/rtp/239.94.1.52:5140
华语影院,http://182.140.110.75:5050/rtp/239.94.1.22:5140
四海钓鱼,http://182.140.110.75:5050/rtp/239.94.1.168:5140
地理专区,http://182.140.110.75:5050/rtp/239.94.1.54:5140
墨宝专区,http://182.140.110.75:5050/rtp/239.94.1.51:5140
大爱四川专区,http://182.140.110.75:5050/rtp/239.94.1.12:5140
大爱四川专区,http://182.140.110.75:5050/rtp/239.94.1.13:5140
大爱四川专区,http://182.140.110.75:5050/rtp/239.94.1.14:5140
大爱时尚专区,http://182.140.110.75:5050/rtp/239.94.1.15:5140
宝宝动画,http://182.140.110.75:5050/rtp/239.94.1.32:5140
导视,http://182.140.110.75:5050/rtp/239.94.1.64:5140
少儿天地,http://182.140.110.75:5050/rtp/239.94.1.138:5140
戏曲专区,http://182.140.110.75:5050/rtp/239.94.1.38:5140
戏曲精选,http://182.140.110.75:5050/rtp/239.94.1.37:5140
收视指南专区,http://182.140.110.75:5050/rtp/239.94.1.56:5140
星光院线,http://182.140.110.75:5050/rtp/239.94.1.23:5140
未知节目,http://182.140.110.75:5050/rtp/239.94.2.72:5140
未识别,http://182.140.110.75:5050/rtp/239.94.2.25:5140
来钓鱼吧,http://182.140.110.75:5050/rtp/239.94.1.148:5140
热门剧场,http://182.140.110.75:5050/rtp/239.94.1.26:5140
热门综艺,http://182.140.110.75:5050/rtp/239.94.1.35:5140
爱乐山,http://182.140.110.75:5050/rtp/239.94.2.2:5140
爱宠宠物,http://182.140.110.75:5050/rtp/239.94.1.145:5140
电信5G,http://182.140.110.75:5050/rtp/239.94.2.4:5140
电竞天堂,http://182.140.110.75:5050/rtp/239.94.1.45:5140
百变课堂,http://182.140.110.75:5050/rtp/239.94.1.43:5140
直播室1,http://182.140.110.75:5050/rtp/239.94.2.11:5140
